Label,Median,Max,90% Line
CustomerMTM,1.547,42.709,2.774
CustomerRepoMTMDay,8.846,40.69,10.646
PLJava2Weeks,14.565,57.251,20.377
PLJavaMonth,8.789,57.062,9.709
PLJavaHalfYear,11.784,56.683,13.441
PLJavaYear,9.254,70.777,11.468
PLJavaYearPortfolio,1.921,50.59,2.314
PLJavaMonthBranch,53.164,104.781,60.871
PLJavaYearBranch,49.023,108.599,59.847
PositionJava,8.628,162.35,9.151
PositionJavaProfitCenter,1.408,26.478,1.761
PositionJavaBranch,1.848,68.606,50.525
PositionFlowDay,4.264,156.933,4.564
PositionFlowWeek,16.366,168.189,16.954
PositionFlowMonth,2.151,33.604,2.37
PositionFlowYear,4.327,36.993,4.516
TradesMTMDay,229.0,426.389,234.774
TradesMTMDayProfitCenter,10.967,59.8,21.308
TradesMTMMonthProfitCenter,10.689,59.798,22.171
TradesMTMJavaCollateral,0.116,0.274,0.121
MarginCallBlotterYear,0.761,24.421,0.813
MarginCallBlotterMonth,0.757,0.833,0.779
CommissionBlotterYear,0.493,18.79,0.511
CustomerFundsReportDay,0.329,13.418,0.342
RepoMTMDay,5.072,14.456,5.19
PositionByCcyDay,11.324,51.441,12.125
PositionByCcyPairDay,11.531,12.108,11.863
TradingDay,11.0,17.875,12.07
BrokerageReq1,15.585,288.126,15.823
BrokerageReq2,15.347,24.03,17.99
BrokerageReq3,12.082,15.811,12.184
AssetFlowReportDay,19.127,219.033,62.617
AssetFlowReportMonth,26.479,67.403,28.513
AssetFlowReportHalfYear,154.757,209.036,167.363
AssetFlowReportYear,320.663,762.339,370.199
TOTAL,1.797,762.339,47.39
